@relation highlypreprocessed-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6

@attribute id numeric
@attribute account_status {<0,0<=X<200,'no checking',>=200}
@attribute debt_status {'critical/other existing credit',paid,'delayed previously'}
@attribute credit_reason {radio/tv,education,furniture,car,business,repairs,other}
@attribute credit_amount {1K<=X<2K,5K<=X<10K,2K<=X<3K,4K<=X<5K,3K<=X<4K,X>=10K,X<1K}
@attribute savings_amount {0,<100,500<=X<1000,>=1000,100<=X<500}
@attribute employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute gender:family {'male single','female div/sep/mar','male div/sep','male mar/wid'}
@attribute age {X>=50,X<25,40<=X<50,30<=X<40,25<=X<30}
@attribute job_status {skilled,unskilled,'highly skilled'}
@attribute loan_status {yes,no}

@data
1,<0,'critical/other existing credit',radio/tv,1K<=X<2K,0,>=7,'male single',X>=50,skilled,yes
2,0<=X<200,paid,radio/tv,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
3,'no checking','critical/other existing credit',education,2K<=X<3K,<100,4<=X<7,'male single',40<=X<50,unskilled,yes
4,<0,paid,furniture,5K<=X<10K,<100,4<=X<7,'male single',40<=X<50,skilled,yes
5,<0,'delayed previously',car,4K<=X<5K,<100,1<=X<4,'male single',X>=50,skilled,no
6,'no checking',paid,education,5K<=X<10K,0,1<=X<4,'male single',30<=X<40,unskilled,yes
7,'no checking',paid,furniture,2K<=X<3K,500<=X<1000,>=7,'male single',X>=50,skilled,yes
8,0<=X<200,paid,car,5K<=X<10K,<100,1<=X<4,'male single',30<=X<40,'highly skilled',yes
9,'no checking',paid,radio/tv,3K<=X<4K,>=1000,4<=X<7,'male div/sep',X>=50,unskilled,yes
10,0<=X<200,'critical/other existing credit',car,5K<=X<10K,<100,unemployed,'male mar/wid',25<=X<30,'highly skilled',no
11,0<=X<200,paid,car,1K<=X<2K,<100,<1,'female div/sep/mar',25<=X<30,skilled,no
12,<0,paid,business,4K<=X<5K,<100,<1,'female div/sep/mar',X<25,skilled,no
13,0<=X<200,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,yes
14,<0,'critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',X>=50,unskilled,no
15,<0,paid,car,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
16,<0,paid,radio/tv,1K<=X<2K,100<=X<500,1<=X<4,'female div/sep/mar',30<=X<40,unskilled,no
17,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,0,>=7,'male single',X>=50,skilled,yes
18,<0,paid,business,5K<=X<10K,0,<1,'male single',25<=X<30,skilled,yes
19,0<=X<200,paid,car,X>=10K,<100,>=7,'female div/sep/mar',40<=X<50,'highly skilled',no
21,'no checking','critical/other existing credit',car,2K<=X<3K,<100,1<=X<4,'male single',40<=X<50,skilled,yes
22,<0,paid,radio/tv,2K<=X<3K,500<=X<1000,1<=X<4,'male single',40<=X<50,skilled,yes
23,<0,'critical/other existing credit',car,2K<=X<3K,<100,<1,'male single',40<=X<50,unskilled,yes
24,0<=X<200,'critical/other existing credit',car,1K<=X<2K,100<=X<500,<1,'male single',40<=X<50,skilled,yes
25,'no checking','critical/other existing credit',furniture,2K<=X<3K,0,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
26,<0,paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
27,'no checking',paid,radio/tv,X<1K,<100,>=7,'male mar/wid',30<=X<40,unskilled,yes
28,>=200,paid,radio/tv,X<1K,>=1000,1<=X<4,'female div/sep/mar',40<=X<50,skilled,yes
